# x	y	u	v	flags	mask
5.6761e+04	7.4507e+04	1.2632e+02	5.8406e+01	0.0000e+00	0.0000e+00
5.7746e+04	7.4507e+04	-6.4167e+01	1.1474e+02	0.0000e+00	0.0000e+00
5.8732e+04	7.4507e+04	3.0910e+01	2.3306e+02	0.0000e+00	0.0000e+00
5.9718e+04	7.4507e+04	3.0224e+01	-8.3930e+00	0.0000e+00	0.0000e+00
6.0704e+04	7.4507e+04	-2.4050e+01	-1.4495e+02	0.0000e+00	0.0000e+00
6.1690e+04	7.4507e+04	-2.3105e+02	-4.8838e+01	0.0000e+00	0.0000e+00
6.2676e+04	7.4507e+04	-8.6612e+02	-2.2211e+02	0.0000e+00	0.0000e+00
6.3662e+04	7.4507e+04	-4.8236e+02	-2.0794e+02	0.0000e+00	0.0000e+00
6.4648e+04	7.4507e+04	-2.0873e+01	-1.9930e+01	0.0000e+00	0.0000e+00
6.5634e+04	7.4507e+04	-3.7966e+02	-1.2674e+01	0.0000e+00	0.0000e+00
6.6620e+04	7.4507e+04	-1.9924e+02	-2.3003e+01	0.0000e+00	0.0000e+00
6.7606e+04	7.4507e+04	1.1885e+03	1.4370e+02	0.0000e+00	0.0000e+00
6.8592e+04	7.4507e+04	2.2754e+02	-2.1120e+01	0.0000e+00	0.0000e+00
6.9577e+04	7.4507e+04	1.0604e+02	-1.0344e+02	0.0000e+00	0.0000e+00
7.0563e+04	7.4507e+04	-1.8255e+02	-2.1814e+02	0.0000e+00	0.0000e+00
7.1549e+04	7.4507e+04	-2.8459e+01	-8.3090e+00	0.0000e+00	0.0000e+00
7.2535e+04	7.4507e+04	8.4711e+01	1.3026e+02	0.0000e+00	0.0000e+00
7.3521e+04	7.4507e+04	-7.5243e+01	1.3728e+02	0.0000e+00	0.0000e+00
7.4507e+04	7.4507e+04	-4.1638e+02	1.7831e+02	0.0000e+00	0.0000e+00
7.5493e+04	7.4507e+04	2.5135e+02	9.7857e+01	0.0000e+00	0.0000e+00
7.6479e+04	7.4507e+04	-1.9863e+01	-1.5249e+02	0.0000e+00	0.0000e+00
7.7465e+04	7.4507e+04	-3.1770e+02	-2.6356e+02	0.0000e+00	0.0000e+00
7.8451e+04	7.4507e+04	-3.2454e+02	7.3235e+00	0.0000e+00	0.0000e+00
7.9437e+04	7.4507e+04	-5.2236e+02	2.9054e+01	0.0000e+00	0.0000e+00
8.0423e+04	7.4507e+04	-5.8726e+01	-2.5983e+01	0.0000e+00	0.0000e+00
8.1408e+04	7.4507e+04	8.0677e+01	6.8011e+01	0.0000e+00	0.0000e+00
8.2394e+04	7.4507e+04	4.6866e+00	8.5567e+01	0.0000e+00	0.0000e+00
8.3380e+04	7.4507e+04	-6.4394e+01	7.0842e+01	0.0000e+00	0.0000e+00
8.4366e+04	7.4507e+04	-7.9312e+00	-5.6361e+02	0.0000e+00	0.0000e+00
